BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
7 ELEVEN,Frozen Fruits,2818
MCALISTERS DELI,Bakery,2808
HUNT'S,Cooking & Baking,2800
BERKLEY JENSEN,Bath & Body,2796
BULLEIT,Spirits,2796
SOUR PUNCH,Candy,2790
FUNYUNS,Nuts & Seeds,2785
GTS,Tea,2783
GOOBERS,Candy,2781
WHISKEY RUN CREEK,Wine,2779
KELLOGGS,Frozen Breakfast,2775
CHIPS AHOY,Chips,2775
SMART ONES,Frozen Meals,2775
Emerald,Nuts & Seeds,2773
CLIF,Nuts & Seeds,2767
CHOBANI NONFAT GREEK,Yogurt,2765
SMIRNOFF ICE SMASH,Malt Beverages,2764
KEYSTONE LIGHT,Beer,2762
BEAK AND SKIFF,Fruit Juices,2755
GEVALIA,Coffee,2755
MASTER,Bakery,2752
WHITE WAVE LAND O LAKES,Cream,2738
PERSONAL CARE,Hair Removal,2732
A & W,Carbonated Soft Drinks,2712
WALMART,Bath & Body,2710
OLAY,Bath & Body,2706
SABRA,Cooking & Baking,2693
MOUNDS,Candy,2685
CHESTER'S,Candy,2685
FRUIT BY THE FOOT,Fruit & Vegetable Snacks,2684
JP CHENET,Wine,2677
BLUE MOON,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",2676
99 STRAWBERRIES,Spirits,2672
CIROC,Spirits,2672
MEAT CHURCH,Packaged Meat,2659
V8 Splash,Carbonated Soft Drinks,2644
SAUZA AGUA FUERTE,Spirits,2641
PILLSBURY TOASTER STRUDEL,Frozen Breakfast,2633
SHARPIE,Household Supplies,2629
KNOB CREEK,Spirits,2628
LUC PIRLET,Wine,2624
HOFBRAU MUNCHEN,Beer,2619
SANTITAS,Candy,2614
HARVESTER,Wine,2610
MCFARLANES RESERVE,Spirits,2604
VPX,Carbonated Soft Drinks,2596
ALEVE,Medicines & Treatments,2594
EGGLAND'S BEST,"Cereal, Granola, & Toaster Pastries",2589
KROGER,"Cereal, Granola, & Toaster Pastries",2587
KIAORA,Wine,2585
GRANDMA'S,Fruit & Vegetable Snacks,2583
HELLO BELLO,Household Supplies,2570
99 BLUE RASPBERRIES,Spirits,2558
MUIR WOOD,Wine,2555
TOPCARE,Hair Removal,2555
SURLY,Beer,2554
BUDWEISER,Spirits,2544
RAMS POINT,Spirits,2543
ULTRA JOY,Bath & Body,2539
PILLSBURY,Eggs,2538
NATURE VALLEY,Nut Butters & Jam,2532
I CAN'T BELIEVE IT'S NOT BUTTER!,Butter & Margarine,2529
LAYS,Dips & Salsa,2520
JOLLY RANCHER,Candy,2517
GOOSE ISLAND,Beer,2514
ERDINGER,Beer,2511
CORN POPS,"Cereal, Granola, & Toaster Pastries",2510
SEAGRAMS SPIKED,Malt Beverages,2510
SWANKIE HANKIES,Household Supplies,2508
VERADA,Wine,2506
BRILLO BASICS,Bath & Body,2493
PABST BLUE RIBBON,Malt Beverages,2486
BLACK APPLE,Fruit Juices,2484
ALANI NU,Carbonated Soft Drinks,2479
BAGEL BITES,Frozen Breads & Doughs,2475
CELSIUS,Medicines & Treatments,2466
PRIVATE LABEL,Bath & Body,2464
BAKERY FRESH GOODNESS,Prepared Meals,2457
CESAR,Cooking & Baking,2454
GOLD MEDAL FLOUR,Cooking & Baking,2450
SCOTT BRAND,Household Supplies,2445
FRESH STEP,Medicines & Treatments,2445
KROGER,Chips,2439
AVEENO,Oral Care,2438
BIGS,Nuts & Seeds,2437
BLAKES HARD CIDER CO,Hard Ciders,2434
MARIE CALLENDER'S,Frozen Meals,2433
ALMOND JOY,Candy,2432
BOB EVANS® DINNER SIDES,Dairy,2425
FRANZIA BOX,Wine,2424
COORS BANQUET,Beer,2419
KODIAK CAKES,Frozen Breakfast,2413
RACHAEL RAY NUTRISH,Frozen Chicken,2411
CLASSICO,Red Pasta Sauce,2411
Cape Cod,Chips,2408
DEEP EDDY,Spirits,2402
KASHI,"Cereal, Granola, & Toaster Pastries",2393
PREGO,Alfredo & White Pasta Sauce,2388
JACK DANIELS COUNTRY COCKTAILS,Malt Beverages,2385
BIRD DOG,Spirits,2384
RAO'S,Sauces & Marinades,2382
WELLSLEY FARMS,Spirits,2380
N A,Bath & Body,2379
SIMPLY 35,Wine,2378
THE DREAMING TREE,Wine,2369
MINUTE MAID LIGHT,Fruit Juices,2368
BAI,Water,2367
JOY ULTRA,Bath & Body,2361
CADBURY,Candy,2344
DEVILS BACKBONE BREWING COMPANY,Beer,2341
PRIVATE LABEL,Deodorant & Antiperspirant,2339
DIET OCEAN SPRAY,Fruit Juices,2336
CHEEZ-IT,Crackers,2331
VASELINE,Bath & Body,2327
OLAY,Skin Care,2326
BIBIGO,Cooking & Baking,2325
BIMBO,Bread,2324
LUXE PERFUMERY,Body Fragrances,2323
MCALISTERS DELI,Cooking & Baking,2320
LA DELIZIA,Wine,2316
ORAL-B,Oral Care,2315
RIHANNA,Deodorant & Antiperspirant,2306
EQUALINE,Hair Removal,2303
SOFTSOAP,Bath & Body,2302
VIRGIL'S,Carbonated Soft Drinks,2300
FUZE,Fruit Juices,2294
PAMPERS,Wine,2293
DELEON,Spirits,2286
BROOKLYN,Beer,2285
SWEETARTS,Candy,2284
FRUIT ROLL UPS,Fruit & Vegetable Snacks,2283
ONYX PROFESSIONAL,Bath & Body,2282
SALVADORS,Spirits,2267
SMUCKERS UNCRUSTABLES,Prepared Meals,2259
MAGNUM ICE CREAM,Frozen Desserts,2257
TOTINO'S,Frozen Meals,2254
CASEYS GEN STORE,Household Supplies,2252
VIAMORA,Wine,2252
FRESCA,Carbonated Soft Drinks,2251
HIGHLAND,Beer,2246
O,Water,2241
TABASCO,Cooking & Baking,2241
PILLSBURY,Cooking & Baking,2238
OLDE ENGLISH HG800,Malt Beverages,2237
FINISH,Bath & Body,2236
ST PIERRE,Bread,2229
MODESA,Bath & Body,2227
ABSOLUT,Spirits,2225
MODESA,Hair Removal,2220
MISSION,Cooking & Baking,2217
PASTA RONI,Cooking & Baking,2217
GAIN,Cooking & Baking,2215
SNUGGLE,Household Supplies,2214
APPLEGATE,Packaged Meat,2213
B JUST THE BASICS,Bath & Body,2213
MILLER HIGH LIFE,Beer,2209
VODKA SQUEEZE,Spirits,2205
DUKE'S,Packaged Meat,2198
PRIVATE SELECTION,Cheese,2191
PASSOA,Spirits,2189
NEW HOLLAND SPIRITS,Spirits,2180
CLASE AZUL,Spirits,2176
COLGATE TOOTHBRUSHES,Oral Care,2172
ROMANA,Spirits,2169
LAND O' LAKES,Nut Butters & Jam,2160
BUTTERKNIFE,Wine,2158
KODIAK CAKES,"Cereal, Granola, & Toaster Pastries",2154
COCA-COLA CHERRY ZERO,Carbonated Soft Drinks,2152
ORIGINAL SIN,Fruit Juices,2151
MCALISTERS DELI,Packaged Meals & Sides,2145
FANTA,Carbonated Soft Drinks,2145
PULL-UPS,Potty Training,2130
COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam,2130
FLYING EMBERS HARD SELTZER SWEET & HEAT VARI,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",2127
TOMBSTONE,Frozen Pizza & Pizza Snacks,2125
LOREAL PARIS COSMETICS,Makeup,2124
CRUSH,Carbonated Soft Drinks,2120
PRESIDENTE,Beer,2118
SWEET BITCH,Wine,2116
CALYPSO,Fruit Juices,2115
SUPER SOFT,Household Supplies,2113
MAGNUM,Frozen Desserts,2112
SUAVE,Bath & Body,2109
HÄAGEN-DAZS,Frozen Desserts,2108
BUTTERBALL,Nut Butters & Jam,2107
SIMPLY,Puffed Snacks,2102
HANKEEZ,Household Supplies,2099
ADVIL,Medicines & Treatments,2095
TACO BELL,Cooking & Baking,2092
TRIX,"Cereal, Granola, & Toaster Pastries",2089
GEMMA DI LUNA,Wine,2088
VICTORY,Beer,2085
MCAFEES BENCHMARK,Spirits,2085
REESE'S,Candy,2081
IAMS,Cooking & Baking,2080
FRIGO,Cheese,2072
DOWNEAST CIDER HOUSE,Fruit Juices,2064
SABRITAS,Crackers,2061
LAZY MAGNOLIA,Beer,2057
HEALTHY CHOICE,Frozen Meals,2050
VASELINE,Skin Care,2047
APOTHIC,Wine,2044
SKINNY FREEZER,Spirits,2044
Almond Joy,Candy,2043
CAPRI,Wine,2040
ARROWHEAD,Water,2037
MARS,Candy,2036
NOSTALGIA PERFUMERY,Body Fragrances,2027
CANTINA ESPECIAL,Spirits,2025
CORONA PREMIER,Beer,2025
ENSURE,Meal Replacement Beverages,2021
WELCH'S FRUIT SNACKS,Fruit & Vegetable Snacks,2020
SIMPLY SPIKED,Malt Beverages,2017
POISE,Adult Incontinence,2008
ALTSTADT,Beer,2004
COUNTER CULTURE COFFEE,Coffee,2001
DISH WORKS OXY,Bath & Body,1994
MCALISTERS DELI,Pickled Goods,1987
UNCLE BEN'S,Rice & Grains,1983
NATURE VALLEY,Cookies,1979
JR WATKINS,Bath & Body,1977
JUMEX,Fruit Juices,1972
Jolly Rancher,Candy,1971
LIGHT + FIT,Yogurt,1963
SVEDKA,Spirits,1955
ONE A DAY,Medicines & Treatments,1949
DISARONNO,Spirits,1948
PAY DAY,Candy,1947
HOEGAARDEN,Beer,1947
HAPPY EGG,Eggs,1943
MY BEAUTY SPOT,Bath & Body,1940
PANAMA JACK,Deodorant & Antiperspirant,1938
BENADRYL,Medicines & Treatments,1935
DOS EQUIS,Beer,1935
GROOVI BEAUTY,Deodorant & Antiperspirant,1933
Cadbury,Candy,1931
NATURE'S OWN,Bread,1929
OTTO,Frozen Pizza & Pizza Snacks,1923
PORTLAND CIDER CO,Fruit Juices,1918
SHOCK TOP,Beer,1914
RAGU,Alfredo & White Pasta Sauce,1914
ALTOIDS,Candy,1913
PINXOR,Bath & Body,1907
HOLLER AND GLOW,Bath & Body,1905
FRANKLY,Spirits,1897
SCHILLING COMPANY,Fruit Juices,1892
PRAIRIE,Spirits,1876
SUGARLANDS SHINE,Spirits,1875
SOUTHERN TIER VARIETY PACK,Beer,1871
BUBLY,Carbonated Soft Drinks,1869
STARR HILL,Beer,1869
PRO VALUE,Household Supplies,1868
DOLE FOODS,Fruit & Vegetable Snacks,1862
PAULANER,Beer,1859
DUNCAN HINES,Cooking & Baking,1858
ENTENMANN'S SWEET BAKED GOODS,Bakery,1858
KODIAK CAKES,Cooking & Baking,1855
MONSTER,Sports Drinks,1853
BRILLO,Bath & Body,1851
CASCADIAN FARM,"Cereal, Granola, & Toaster Pastries",1844
YES WAY ROSE,Wine,1841
THE CLUB,Spirits,1837
CASA SANTORSOLA,Wine,1836
CHIPS AHOY!,Cookies,1834
BAKERY FRESH GOODNESS,Bakery,1832
SQRRL,Spirits,1832
BUSH'S,Soup & Broth,1829
SHANDY CARIB,Beer,1822
HEALTH ADE,Tea,1819
MOSAIC,Bath & Body,1819
TIETON CIDER WORKS,Fruit Juices,1816
GILLETTE,Hair Removal,1813
HECTARE,Wine,1808
PETER PAN,Sauces & Marinades,1808
PANAMAJACK,Deodorant & Antiperspirant,1807
SOL,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",1806
SARA LEE ARTESANO,Bread,1806
WINEMAKERS,Wine,1805
ACTIVIA,Yogurt,1804
HOUSE WINE,Wine,1796
YOPLAIT GOGURT,Yogurt,1795
Milk Duds,Candy,1787
TULI,Wine,1786
LUCKY DUCK,Wine,1785
GREAT VALUE BLEACH EFFECTS,Bath & Body,1784
AXE,Oral Care,1781
ETERNAL,Water,1778
TROPICAL,Wine,1776
MALT O MEAL,"Cereal, Granola, & Toaster Pastries",1775
VITA DIVINE,Spirits,1767
DEER PARK,Water,1765
DRAKES ORGANIC SPIKED ICE,Spirits,1763
LA BANDERITA,Bread,1760
BIGELOW,Tea,1758
GOODFELLOW AND CO,Hair Removal,1757
LONG TRAIL,Beer,1750
BLACK BOX,Wine,1748
TRULY,Spirits,1744
KRONENBOURG 1664,Beer,1741
BOB EVANS,Cheese,1738
SEAGRAMS GIN,Spirits,1734
BLAKES HARD CIDER CO,Fruit Juices,1724
CROOK AND MARKER SPIKED TEA VARIETY PACK,Malt Beverages,1718
FRESH STEP,Bakery,1717
NATURESWEET,Cooking & Baking,1716
BEV,Wine,1715
TECATE,Beer,1712
ALFAROS BREAD,Bread,1712
BAKEN ETS,Chips,1707
CHATEAU BELLEVUE,Wine,1705
KELLOGGS,Nut Butters & Jam,1704
KLEAN,Wine,1704
HONEST,Fruit Juices,1697
GHOST ENERGY,Sports Drinks,1696
PIBB XTRA,Carbonated Soft Drinks,1696
CHUM CHURUM,Spirits,1696
MRS BUTTERWORTHS,Nut Butters & Jam,1695
M&M CANDY,Frozen Desserts,1693
CHEX MIX,Crackers,1693
POP SECRET,Puffed Snacks,1691
TUMS,Medicines & Treatments,1690
Q-TIPS,First Aid,1688
LEFT HAND BREWING COMPANY,Beer,1681
BREYERS,Frozen Breads & Doughs,1678
TWO ROADS,Beer,1673
Arnold,Bakery,1673
Ice Breakers,Candy,1670
CIDERBOYS,Fruit Juices,1670
MCALISTERS DELI,Soup & Broth,1668
CANADIAN MIST,Spirits,1664
WHITE CLAW HARD SELTZER,Malt Beverages,1663
RAINIER,Beer,1661
WEIHENSTEPHAN,Beer,1660
PANTENE,Hair Care,1660
MAC AND JACKS,Beer,1651
TWO GOOD,Yogurt,1651
SUN ICE,Malt Beverages,1642
DOVE,Hair Care,1635
GOODBATHS,Deodorant & Antiperspirant,1635
MAMAMANGO,Wine,1629
ROLD GOLD,Pretzels,1628
AMYS,Frozen Meals,1625
MRS BAIRDS,Bread,1616
JACK LINKS,Jerky & Dried Meat,1614
EVERSPRING,Bath & Body,1607
RANCH RIDER SPIRITS CO,Spirits,1601
MEDALLA LIGHT,Beer,1594
SUGARLANDS SHINE APPALACHIAN,Spirits,1593
BUCHANANS DE LUXE,Spirits,1586
BLUE BUFFALO,Frozen Chicken,1586
BEYOND MEAT,Plant-Based Meat,1584
SWISS MISS,Milk,1581
MUSZYNIANKA,Carbonated Soft Drinks,1580
ON THE BORDER,Chips,1580
FUNABLES,Fruit & Vegetable Snacks,1575
DERMASIL LABS,Bath & Body,1573
POLLY-O,Eggs,1569
HEAVY SEAS,Beer,1568
CALIFIA FARMS,Milk,1566
MCALISTERS DELI,Frozen Chicken,1564
SUN CHIPS,Chips,1559
MALIBU,Spirits,1556
LAUDATO,Wine,1555
MEMBERS MARK,Wine,1553
SEA DOG BLUEPAW,Beer,1548
AEROPOSTALE,Deodorant & Antiperspirant,1547
WOODCHUCK,Fruit Juices,1545
FEBREZE,Bread,1544
YARDLEY LONDON,Deodorant & Antiperspirant,1542
YOCRUNCH,Yogurt,1538
HIDDEN VALLEY RANCH,Sauces & Marinades,1537
PENNSYLVANIA DUTCH,Spirits,1534
HPNOTIQ,Spirits,1530
ALBINO ARMANI,Wine,1529
CREST,Bath & Body,1525
NATURE VALLEY,Candy,1524
NO BRAND LISTED,Bath & Body,1519
CHUM CHURUM SOON HARI,Spirits,1514
BISQUICK,Cooking & Baking,1512
KRAFT,Dressings,1508
LIBBY'S,Cooking & Baking,1507
MEIJER,Cooking & Baking,1506
RIPPLE,Cooking & Baking,1504
BIMBO SWEET BAKED GOODS,Bakery,1503
MYSTIC REEF HARD SELTZER VARIETY PACK,Beer,1502
BIG DITCH BREWING COMPANY,Beer,1501
EOS,Hair Removal,1501
COUNTRY CROCK ORIGINAL,Cooking & Baking,1495
NINKASI BREWING COMPANY,Beer,1495
LEROUX,Spirits,1494
ANNIES HOMEGROWN GROCERY,Cheese,1489
MEOW MIX,Packaged Meat,1488
HALL RANCH,Wine,1487
DG SMART AND SIMPLE,Bath & Body,1485
UNCLE NEAREST 1884,Spirits,1485
GOOD & PLENTY,Candy,1484
REVEL STOKE,Spirits,1477
QUAKER,Snack Cakes,1477
CLAUSSEN,Prepared Meals,1475
LITEHOUSE,Cheese,1474
PALMOLIVE,Cooking & Baking,1471
NATURAL LIGHT,Beer,1466
PALMOLIVE,Household Supplies,1465
LYSOL,Makeup,1464
CRYSTAL LIGHT,Water,1462
MUNCHIES,Fruit & Vegetable Snacks,1458
ACE,Fruit Juices,1452
BRITA POP UP,Household Supplies,1452
ARNOLD BROWNBERRY OROWEAT BREAD,Bread,1446
PURELL,Bath & Body,1442
CORONA,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",1442
SIMPLY ORGANIC,Cooking & Baking,1440
PENNY SMART,Bath & Body,1438
ENFAMIL,Baby Bathing,1437
ZYWIEC,Beer,1434
BETTY CROCKER OTHER,Cooking & Baking,1433
SECRET,Deodorant & Antiperspirant,1433
HONEST,Cooking & Baking,1433
FAMOUS AMOS,Candy,1432
PRO SANITIZE,Bath & Body,1432
HUNT'S,Pasta & Noodles,1419
LAND O' LAKES,Butter & Margarine,1419
WESSON,Cooking & Baking,1416
DEVOUR,Frozen Meals,1412
ROGUE,Beer,1410
FOSTERS,Beer,1406
TIDE,Cooking & Baking,1403
DRIPPING SPRINGS,Spirits,1402
GENESEE,Beer,1399
AUSSIE,Hair Care,1397
DOLE,Leafy Salads,1395
HINT,Water,1395
E.L.F.,Makeup,1385
VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",1385
CHEEZ-IT PUFF'D,Crackers,1384
REDDI-WIP,Dips & Salsa,1384
MEMBERS MARK ULTIMATE CLEAN,Bath & Body,1384
KETEL ONE,Spirits,1384
TROEGS,Beer,1383
VISTAMAR,Wine,1381
DR PEPPER CAFFEINE FREE,Carbonated Soft Drinks,1380
VIVA,Household Supplies,1371
BREW DR,Tea,1369
QUAKER,Cookies,1369
FAT HEADS,Beer,1367
RUM CHATA,Spirits,1364
FRAPPA CHATA,Spirits,1362
3 AMIGOS,Spirits,1361
MONTEJO,Beer,1360
ATHENA,Wine,1359
FOUNDERS PREMIUM HARD SELTZER MAS AGAVE VARI,Malt Beverages,1358
OLIPOP,Carbonated Soft Drinks,1358
TAZO,Tea,1355
MIONETTO,Wine,1354
COUNTRY BOY BREWING,Beer,1354
ROYAL & LANGNICKEL,Makeup,1352
GLAD,Prepared Meals,1350
PROGRESSO OTHER,Bread,1350
TANG,Carbonated Soft Drinks,1347
ST BERNARDUS,Beer,1346
GREAT GRAINS,"Cereal, Granola, & Toaster Pastries",1345
TYSON,Puffed Snacks,1341
MOTHER EARTH,Beer,1339
BOLD ROCK,Fruit Juices,1336
CREAM OF WHEAT,"Cereal, Granola, & Toaster Pastries",1333
WELCHES FRUIT N YOGURT,Fruit & Vegetable Snacks,1330
FLYING DOG,Beer,1328
LA CHOY,Sauces & Marinades,1328
Banza,Candy,1322
Late July,Candy,1318
OCEAN SPRAY JUICES,Fruit Juices,1317
NABISCO,Cookies,1317
ROCKSTAR ENERGY DRINK,Energy Drinks,1316
CONTE PRIOLA,Wine,1315
NYX PROFESSIONAL MAKEUP,Makeup,1314
PLAYA VALLARTA,Wine,1313
PLINY THE ELDER,Beer,1312
PRANCER AND VIXEN,Wine,1308
THE HOME STORE,Bath & Body,1308
DOGFISH HEAD,Spirits,1300
MUSCLE MILK,Milk,1299
MYERSS,Spirits,1298
SKATTER BRAIN,Spirits,1297
FLORIDAS NATURAL,Fruit Juices,1297
GENERAL MILLS CEREAL,"Cereal, Granola, & Toaster Pastries",1295
MANWICH,Soup & Broth,1289
FLYING DOG VARIETY PACK,Beer,1285
JOSE CUERVO ESPECIAL,Spirits,1284
HEAD AND SHOULDERS,Hair Care,1284
BOLD ROCK,Malt Beverages,1283
OZARKA,Water,1283
CARBLISS,Spirits,1278
HENNESSY,Spirits,1273
EVAN WILLIAMS,Spirits,1266
UPTOWN COCKTAILS,Wine,1265
MCALISTERS DELI,Candy,1262
NATURAL LIGHT,Malt Beverages,1261
STARR HILL VARIETY PACK,Beer,1260
DESERT DOOR,Spirits,1258
MOZART,Spirits,1256
DEVILS BACKBONE DISTILLING CO,Spirits,1253
AVID,Fruit Juices,1252
JINGLE & MINGLE,Wine,1251
Snack Factory,Fruit & Vegetable Snacks,1247
SIXPOINT HIGHER VOLUME VARIETY PACK,Beer,1245
WISH,Bath & Body,1245
KIND,"Cereal, Granola, & Toaster Pastries",1244
EVOLVE,Carbonated Soft Drinks,1242
ELIJAH CRAIG,Spirits,1242
RICE A RONI,Rice & Grains,1241
GREYROCK,Wine,1238
GOOD 2 GROW,Fruit Juices,1238
RADIUS,Wine,1237
HOMEBASE,Bath & Body,1235
AMICI,Wine,1233
TALENTI,Frozen Meals,1232
BITBURGER,Beer,1232
SUPER COFFEE,Coffee,1232
PROTOTYPE,Wine,1231
DEVILS RIVER,Spirits,1230
CRIMSON THREAD,Wine,1223
NATURE MADE,Medicines & Treatments,1223
CASEYS GEN STORE,Packaged Vegetables,1222
ORE IDA,Frozen Meals,1221
MARIE CALLENDERS,Cheese,1219
GOLDEN GRAHAMS,"Cereal, Granola, & Toaster Pastries",1215
Stove Top,Cooking & Baking,1215
Maxwell House,Coffee,1214
44 NORTH,Spirits,1212
BURTS BEES,Makeup,1210
HY-VEE COOLER,Fruit Juices,1208
L'OREAL ELVIVE,Hair Care,1207
NEW YORK,Bakery,1205
PUBLIX,Cheese,1202
MULE 20,Spirits,1201
SIGGIS,Yogurt,1196
KRAFT,Condiments,1196
KIM CRAWFORD,Wine,1190
ECLIPSE,Gum,1188
VANDER MILL,Fruit Juices,1186
BLUE DIAMOND,Milk,1183
LYSOL,Bath & Body,1181
MYSTIC REEF,Malt Beverages,1181
JUICY FRUIT,Gum,1177
KENTUCKY,Beer,1177
WELLS,Beer,1176
SUN MAID,Fruit & Vegetable Snacks,1173
WE CLEAN,Bath & Body,1172
BARTON,Spirits,1168
Mounds,Candy,1163
CANTEEN SPIRITS,Spirits,1160
DOMAINE LOUBEJAC,Wine,1158
GREAT LAKES COMMODORE PERRY,Beer,1158
PABST BLUE RIBBON,Beer,1158
AVEENO,Bath & Body,1157
SARANAC,Carbonated Soft Drinks,1155
LOYAL NINE COCKTAILS,Spirits,1154
KLONDIKE,Frozen Meals,1153
TEMPTATIONS,Frozen Chicken,1144
WICKED WEED PERNICIOUS IPA,Beer,1141
ATKINS,Meal Replacement Beverages,1141
FIT VINE,Wine,1140
KUNG FU GIRL,Wine,1140
FROSTED FLAKES,"Cereal, Granola, & Toaster Pastries",1133
RATIO,Yogurt,1131
LOG CABIN,"Cereal, Granola, & Toaster Pastries",1128
HAUS AM MARKT,Wine,1128
RX BAR,Nuts & Seeds,1127
GREEN MOUNTAIN COFFEE,Coffee,1124
ICE BREAKERS,Candy,1123
99 LEMON LIME,Spirits,1122
CHATEAU MONTET,Wine,1121
MR BOSTON,Spirits,1120
90,Wine,1118
GERBER,Baby Health,1115
MILLER HIGH LIFE,Makeup,1114
A.1.,Sauces & Marinades,1113
REESE'S PUFFS,"Cereal, Granola, & Toaster Pastries",1110
COLGATE MOUTHWASH,Bath & Body,1107
GARDEIN,Frozen Chicken,1106
TRUVIA,Cooking & Baking,1102
PANERA BREAD,Dressings,1096
COUNTRY HERITAGE WINERY AND VINEYARD,Wine,1094
GOOD CULTURE,Cooking & Baking,1093
BRISK,Fruit Juices,1093
IRISH SPRING,Bath & Body,1092
SIMPLY,Fruit Juices,1092
CACTI,Malt Beverages,1092
COUNTRY TIME,Fruit Juices,1090
FIRST CALL,Spirits,1090
BLACK FOREST,Candy,1089
LEYENDA DEL MILAGRO,Spirits,1086
UV,Spirits,1085
QUAKER,Crackers,1084
KING ARTHUR,Cooking & Baking,1083
GOOD FRIENDS,Spirits,1081
CASCADA,Carbonated Soft Drinks,1080
CAULIPOWER LIVE LIFE ON THE VEG,Frozen Pizza & Pizza Snacks,1080
RATIO,"Cereal, Granola, & Toaster Pastries",1080
VICTORIA,Spirits,1078
LAYER CAKE,Wine,1078
MARS WRIGLEY VARIETY PACK,Candy,1077
MCCAIN,Frozen Sides,1076
Perfect Bar,Yogurt,1075
BROOKS,Soup & Broth,1074
FIDDLEHEAD BREWING COMPANY,Beer,1070
MEMBERS MARK,Spirits,1069
HILL COUNTRY FARE,Water,1069
CORONA,Malt Beverages,1069
ASTRA BELLA,Wine,1067
BAYS,Bread,1066
REMY MARTIN 1738,Spirits,1066
LAWSONS FINEST LIQUIDS,Beer,1063
COTTONELLE,Bath & Body,1060
MCALISTERS DELI,Dressings,1059
TWININGS,Tea,1058
KINKY,Malt Beverages,1057
DELIMEX,Frozen Chicken,1057
GOYA,Sauces & Marinades,1056
B LOVELY,Wine,1056
CROOK AND MARKER,Malt Beverages,1054
MEOW MIX,Frozen Chicken,1053
GOOD HUMOR,Frozen Desserts,1052
DEPEND,Adult Incontinence,1050
KARBACH,Beer,1050
BRECKENRIDGE,Beer,1049
ADICTIVO,Spirits,1048
SIMPLE TRUTH,Water,1047
COINTREAU,Spirits,1046
MILK DUDS,Candy,1045
LOLA,Wine,1045
DIXON,Makeup,1043
DOVE MEN+CARE,Hair Care,1043
MOUNT GAY ECLIPSE,Spirits,1043
QUAKER,Rice & Grains,1042
SIMPLE MILLS,Cooking & Baking,1040
PONDS,Skin Care,1039
BRADYS,Spirits,1036
ADAMS,Cooking & Baking,1035
THE SPEYSIDE,Spirits,1035
MEOW MIX,Cooking & Baking,1034
AVERY BREWING CO,Beer,1033
LUNA DI LUNA,Wine,1032
WISEPIES,Frozen Pizza & Pizza Snacks,1031
YOPLAIT GO-GURT,Yogurt,1031
CLIF KID,Chips,1030
SARA LEE,Cheese,1028
NOTORIOUS PINK,Wine,1025
CLYDE MAYS,Spirits,1023
AQUATION,Bath & Body,1022
HOP VALLEY BREWING CO,Beer,1021
STARBUCKS,Candy,1019
SEATTLE CIDER CO,Fruit Juices,1017
EIGHT OCLOCK,Coffee,1017
GREAT LAKES BURNING RIVER,Beer,1016
FINISH,Cooking & Baking,1015
DUNKIN',Drink Mixes,1013
KROGER,Coffee,1012
HEALTH ADE,Carbonated Soft Drinks,1008
MANZANITA SOL,Carbonated Soft Drinks,1008
CARNATION,Milk,1007
MUNCHIES,Nuts & Seeds,1004
HICKORY HARVEST,Snack Mixes,1004
BEST ACCESSORY GROUP,Bath & Body,1003
DISTILLERY SERIES,Deodorant & Antiperspirant,1002
LONEHAND,Spirits,1001
SHAKESPEARES,Frozen Pizza & Pizza Snacks,1001
JOSE CUERVO TRADICIONAL,Spirits,1000
DOLLY,Deodorant & Antiperspirant,997
ALL SPORT,Water,996
OLD EL PASO,Packaged Vegetables,996
GEISSLERS,Packaged Meat,996
KNORR,Sauces & Marinades,995
SIMPLY,Chips,994
KINGS CREEK,Spirits,992
STROHS,Beer,992
BUD LIGHT,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",991
DOMINO,Household Supplies,991
PENINSULA PREMIUM,Drink Mixes,990
WILD TURKEY,Spirits,988
BE WELL,Wine,987
GLENMORANGIE,Spirits,987
SANTA CLARA ROMPOPE,Spirits,987
POPSICLE,Frozen Meals,984
BOUGRIER,Wine,984
BEAR NAKED,"Cereal, Granola, & Toaster Pastries",984
PINE-SOL,Cooking & Baking,981
STREAMLINE,Makeup,981
WHISTLEPIG,Spirits,980
LA COLOMBE,Carbonated Soft Drinks,978
HUGGIES,Wine,978
MOTHERS BREWING COMPANY SEASONAL,Beer,977
NO BRAND LISTED,Household Supplies,975
CARIB SHANDY,Beer,974
FILTRETE,Household Supplies,970
ONDA,Spirits,970
WISH-BONE,Sauces & Marinades,969
POCKETBAC,Bath & Body,968
NEW HOLLAND BREWING,Beer,967
KONA BREWING CO,Beer,964
KRUTO,Spirits,962
MRS BAIRDS,Bakery,962
ANNIES HOMEGROWN GROCERY,Crackers,961
MCMASTERS,Spirits,960
HARD ICE,Spirits,956
OLD EL PASO,Sauces & Marinades,954
CHARLES REGNIER,Spirits,954
SIR KENSINGTONS,Condiments,954
CAROLANS,Spirits,952
HENDRICKS,Spirits,952
NELLIES,Eggs,951
NIGHT SHIFT BREWING,Beer,951
